,frame,timestamp,emotion,score,old_emotion,scene,emotion_shift
110,330,14.347826086956522,no_emotion,0.54,sad,2,False
111,333,14.478260869565217,no_emotion,0.51,sad,2,False
112,336,14.608695652173912,no_emotion,0.58,angry,2,False
113,339,14.73913043478261,no_emotion,0.66,neutral,2,False
114,342,14.869565217391305,no_emotion,0.69,neutral,2,False
115,345,15.0,no_emotion,0.69,neutral,2,False
116,348,15.130434782608695,no_emotion,0.5,angry,2,False
117,351,15.26086956521739,happy,1.0,happy,2,True
118,354,15.391304347826088,happy,1.0,happy,2,False
119,357,15.521739130434783,happy,1.0,happy,2,False
120,360,15.652173913043478,happy,1.0,happy,2,False
121,363,15.782608695652174,happy,1.0,happy,2,False
122,366,15.91304347826087,happy,1.0,happy,2,False
123,369,16.043478260869566,no_emotion,0.84,neutral,3,False
124,372,16.17391304347826,no_emotion,0.84,neutral,3,False
125,375,16.304347826086957,no_emotion,0.9,neutral,3,False
126,378,16.434782608695652,no_emotion,0.79,neutral,3,False
127,381,16.565217391304348,no_emotion,0.55,happy,3,False
128,384,16.695652173913043,no_emotion,0.39,angry,3,False
129,387,16.82608695652174,no_emotion,0.0,,3,False
130,390,16.956521739130434,no_emotion,0.61,sad,3,False
131,393,17.08695652173913,no_emotion,0.76,sad,3,False
132,396,17.217391304347824,no_emotion,0.0,,3,False
133,399,17.347826086956523,no_emotion,0.0,,3,False
134,402,17.47826086956522,no_emotion,0.0,,3,False
135,405,17.608695652173914,no_emotion,0.0,,3,False
136,408,17.73913043478261,no_emotion,0.76,sad,3,False
137,411,17.869565217391305,no_emotion,0.57,sad,3,False
138,414,18.0,no_emotion,0.59,sad,3,False
139,417,18.130434782608692,no_emotion,0.43,neutral,3,False
140,420,18.26086956521739,no_emotion,0.68,sad,3,False
141,423,18.39130434782609,no_emotion,0.63,sad,3,False
142,426,18.52173913043478,no_emotion,0.69,sad,3,False
143,429,18.65217391304348,no_emotion,0.66,sad,3,False
144,432,18.782608695652176,no_emotion,0.63,sad,3,False
145,435,18.91304347826087,no_emotion,0.68,sad,3,False
146,438,19.043478260869566,no_emotion,0.0,,3,False
147,441,19.17391304347826,no_emotion,0.71,sad,3,False
148,444,19.30434782608696,no_emotion,0.72,sad,3,False
149,447,19.43478260869565,no_emotion,0.74,sad,3,False
150,450,19.565217391304348,no_emotion,0.31,sad,3,False
151,453,19.695652173913043,no_emotion,0.29,sad,3,False
152,456,19.82608695652174,no_emotion,0.0,,3,False
153,459,19.956521739130437,no_emotion,0.0,,3,False
154,462,20.08695652173913,no_emotion,0.0,,3,False
155,465,20.217391304347824,no_emotion,0.0,,3,False
156,468,20.347826086956523,no_emotion,0.0,,3,False
157,471,20.47826086956522,no_emotion,0.0,,3,False
158,474,20.608695652173918,no_emotion,0.0,,3,False
159,477,20.73913043478261,no_emotion,0.0,,3,False
160,480,20.869565217391305,no_emotion,0.0,,3,False
161,483,21.0,no_emotion,0.64,sad,3,False
162,486,21.130434782608692,no_emotion,0.64,sad,3,False
163,489,21.26086956521739,no_emotion,0.62,sad,3,False
164,492,21.39130434782609,no_emotion,0.65,sad,3,False
165,495,21.52173913043478,no_emotion,0.72,sad,3,False
166,498,21.65217391304348,no_emotion,0.0,,3,False
167,501,21.782608695652176,no_emotion,0.72,sad,3,False
168,504,21.91304347826087,no_emotion,0.0,,3,False
169,507,22.043478260869566,no_emotion,0.0,,3,False
170,510,22.17391304347826,no_emotion,0.0,,3,False
171,513,22.30434782608696,no_emotion,0.0,,3,False
172,516,22.43478260869565,no_emotion,0.0,,3,False
173,519,22.565217391304348,no_emotion,0.0,,3,False
174,522,22.695652173913043,no_emotion,0.0,,3,False
175,525,22.82608695652174,no_emotion,0.0,,3,False
176,528,22.956521739130437,no_emotion,0.0,,3,False
177,531,23.08695652173913,no_emotion,0.66,neutral,3,False
178,534,23.217391304347824,no_emotion,0.79,neutral,3,False
179,537,23.347826086956523,no_emotion,0.82,neutral,3,False
180,540,23.47826086956522,no_emotion,0.88,neutral,3,False
181,543,23.608695652173918,no_emotion,0.29,neutral,3,False
182,546,23.73913043478261,no_emotion,0.54,neutral,3,False
183,549,23.869565217391305,no_emotion,0.76,neutral,3,False
184,552,24.0,no_emotion,0.61,neutral,3,False
185,555,24.130434782608692,no_emotion,0.88,neutral,3,False
186,558,24.26086956521739,no_emotion,0.86,neutral,3,False
187,561,24.39130434782609,no_emotion,0.94,neutral,3,False
188,564,24.52173913043478,no_emotion,0.95,neutral,3,False
189,567,24.65217391304348,no_emotion,0.84,neutral,3,False
190,570,24.782608695652176,no_emotion,0.92,neutral,3,False
191,573,24.91304347826087,no_emotion,0.92,neutral,3,False
192,576,25.043478260869566,no_emotion,0.94,neutral,3,False
193,579,25.17391304347826,no_emotion,0.87,neutral,3,False
194,582,25.30434782608696,no_emotion,0.85,neutral,3,False
195,585,25.43478260869565,no_emotion,0.73,neutral,3,False
196,588,25.565217391304348,no_emotion,0.7,neutral,3,False
197,591,25.695652173913043,no_emotion,0.49,sad,3,False
